City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
269,Ayan,RU,56.45,138.1667,-5.35,81,57,6.49,broken clouds
270,Taunggyi,MM,20.7833,97.0333,49.39,47,5,1.36,clear sky
271,Mercedes,AR,-34.6515,-59.4307,70.65,41,12,10.42,few clouds
272,Isoka,ZM,-10.1606,32.6335,64.9,95,96,0.51,moderate rain
273,Luderitz,NA,-26.6481,15.1594,74.48,66,40,0.65,scattered clouds
274,Along,IN,28.1667,94.7667,50.2,90,1,2.33,clear sky
275,Talcahuano,CL,-36.7167,-73.1167,80.28,34,0,9.22,clear sky
276,Baherden,TM,38.4362,57.4316,47.52,68,60,7.63,broken clouds
277,Lompoc,US,34.6391,-120.4579,71.13,50,0,11.5,clear sky
278,Hays,US,30.0502,-98.0336,53.98,48,34,8.99,scattered clouds
279,Scarborough,GB,54.2797,-0.4044,46.08,88,100,15.99,light rain
280,Eenhana,NA,-17.4667,16.3333,83.64,45,94,4.74,overcast clouds
281,Puerto Carreno,CO,6.189,-67.4859,87.78,51,100,20.71,overcast clouds
282,Beringovskiy,RU,63.05,179.3167,-25.92,95,21,7.7,few clouds
283,Lima,PE,-12.0432,-77.0282,76.14,64,0,6.91,clear sky
284,Sakakah,SA,29.9697,40.2064,62.17,31,0,5.37,clear sky
285,Cherskiy,RU,68.75,161.3,-23.82,98,100,9.08,overcast clouds
286,Atar,MR,20.5169,-13.0499,80.65,16,22,11.5,few clouds
287,Batagay-Alyta,RU,67.8006,130.4114,-20.29,88,89,5.5,overcast clouds
288,Tessaoua,NE,13.7574,7.9874,86.14,7,6,11.77,clear sky
289,Zhigansk,RU,66.7697,123.3711,-33.92,100,65,4.41,broken clouds
290,Carutapera,BR,-1.195,-46.02,81.84,79,100,6.24,overcast clouds
291,Awbari,LY,26.5921,12.7805,65.26,19,0,9.4,clear sky
292,Tura,IN,25.5198,90.2201,55.85,72,0,4.14,clear sky
293,Vardo,NO,70.3705,31.1107,26.13,71,37,13.38,scattered clouds
294,Sawang Daen Din,TH,17.4753,103.4575,78.03,99,96,5.53,overcast clouds
295,Korcula,HR,42.9622,17.1369,52.36,48,44,7.96,scattered clouds
296,Urumqi,CN,43.801,87.6005,11.35,85,75,2.24,mist
297,Fortuna,US,40.5982,-124.1573,47.32,76,0,9.22,clear sky
298,Puerto Montt,CL,-41.4698,-72.9447,63.43,72,0,14.97,clear sky
299,Padang,ID,-0.9492,100.3543,78.24,81,98,3.83,overcast clouds
300,Sarangani,PH,5.4033,125.4636,81.79,79,100,19.93,overcast clouds
301,Ust-Ordynskiy,RU,52.805,104.7508,-20.36,100,37,4.79,scattered clouds
302,Codrington,AU,-38.2667,141.9667,63.63,69,18,10.83,few clouds
303,Colac,AU,-38.3333,143.5833,64.62,83,21,7.0,few clouds
304,Dolores Hidalgo,MX,21.1561,-100.9308,56.79,28,88,1.59,overcast clouds
305,Bilma,NE,18.6853,12.9164,77.74,11,0,7.83,clear sky
306,Yarmouth,US,41.7057,-70.2286,58.44,74,9,5.99,clear sky
307,Koumac,NC,-20.5667,164.2833,78.17,86,57,3.31,broken clouds
308,Chokurdakh,RU,70.6333,147.9167,-2.09,96,100,13.76,overcast clouds
309,Outjo,NA,-20.1167,16.15,76.78,62,96,6.02,light rain
310,Matane,CA,48.8286,-67.522,38.95,99,100,10.54,overcast clouds
311,Tuy Hoa,VN,13.0833,109.3,73.87,92,83,3.44,broken clouds
312,Tanete,ID,-3.9443,119.7848,74.59,97,100,5.48,overcast clouds
313,Linxia,CN,35.6003,103.2064,15.49,70,3,5.53,clear sky
314,Bathsheba,BB,13.2167,-59.5167,77.61,69,75,28.77,broken clouds
315,Kieta,PG,-6.2167,155.6333,78.04,77,85,3.11,overcast clouds
316,Mitsamiouli,KM,-11.3847,43.2844,79.39,83,100,12.26,light rain
317,Sanming,CN,26.2486,117.6186,55.65,95,100,2.06,light rain
318,Bengkulu,ID,-3.8004,102.2655,77.18,86,100,4.79,overcast clouds
319,Kingman,US,35.1894,-114.053,56.12,23,0,8.25,clear sky
320,Boguchany,RU,58.3814,97.4531,-18.15,100,21,3.09,few clouds
321,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,90.19,53,98,4.03,overcast clouds
322,Kudahuvadhoo,MV,2.6708,72.8944,82.04,66,95,6.46,overcast clouds
323,Ilulissat,GL,69.2167,-51.1,33.8,65,100,22.57,overcast clouds
324,Languyan,PH,5.2618,120.0807,77.65,84,94,0.94,overcast clouds
325,Seoul,KR,37.5683,126.9778,33.24,55,0,3.44,clear sky
326,Svetlaya,RU,46.5389,138.3297,26.78,90,100,14.88,snow
327,Cap Malheureux,MU,-19.9842,57.6142,81.09,74,74,1.01,broken clouds
328,Goundam,ML,16.4145,-3.6708,84.88,8,2,7.81,clear sky
329,Dakar,SN,14.6937,-17.4441,92.28,51,23,19.82,few clouds
330,Kashi,CN,39.4547,75.9797,38.05,35,97,3.27,overcast clouds
331,Kalengwa,ZM,-13.4659,25.0027,69.75,91,100,4.03,light rain
332,Santa Cruz Cabralia,BR,-16.2781,-39.0247,82.24,67,100,9.35,overcast clouds
333,Mocuba,MZ,-16.8392,36.9856,75.54,89,99,7.4,light rain
334,Bouar,CF,5.934,15.596,90.99,11,65,8.66,broken clouds
335,Namatanai,PG,-3.6667,152.4333,78.15,82,100,4.54,moderate rain
336,Zasechnoye,RU,53.1092,45.0764,28.67,40,100,6.89,overcast clouds
337,Saint-Philippe,RE,-21.3585,55.7679,80.19,78,16,5.95,few clouds
338,Nemuro,JP,43.3236,145.575,21.88,79,52,4.83,broken clouds
339,Jibuti,DJ,11.5,42.5,70.77,69,40,11.74,scattered clouds
340,Antofagasta,CL,-23.65,-70.4,74.21,58,9,9.08,clear sky
341,Severodvinsk,RU,64.5635,39.8302,19.51,90,65,10.2,broken clouds
342,Okhotsk,RU,59.3833,143.3,-13.86,83,10,8.79,clear sky
343,Champawat,IN,29.3333,80.1,39.76,86,0,1.61,clear sky
344,Astana,KZ,51.1801,71.446,12.15,85,100,17.9,overcast clouds
345,Suluova,TR,40.8313,35.6479,42.66,61,0,0.0,clear sky
346,Aldan,RU,58.6031,125.3894,-24.56,99,100,3.51,overcast clouds
347,Tocopilla,CL,-22.092,-70.1979,74.1,65,5,8.61,clear sky
348,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,68,96,11.32,overcast clouds
