City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
351,San Quintin,MX,66.76,clear sky,30.4833,-115.95,Don Eddie's Landing
353,San Ignacio,BZ,77.05,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
354,Chimoio,MZ,71.96,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
356,Inhambane,MZ,79.81,scattered clouds,-23.865,35.3833,Oceano
359,Los Llanos De Aridane,ES,66.13,broken clouds,28.6585,-17.9182,Valle Aridane
360,Sao Joao Da Barra,BR,75.85,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
362,La Solana,ES,61.0,broken clouds,38.9442,-3.2381,Apartamento Prado
364,Faya,SA,58.33,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
365,Ponta Delgada,PT,63.32,broken clouds,37.7333,-25.6667,Vila Nova Hotel
366,Rio Gallegos,AR,62.78,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
368,Jalu,LY,62.22,clear sky,29.0331,21.5482,صاحبة الفخامة
372,Dunedin,NZ,51.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
374,Panji,ID,75.06,overcast clouds,-7.7253,114.0995,DALEM KANJENG QOID MAIMUN
375,Kirakira,SB,77.58,overcast clouds,-10.4544,161.9205,SanBiz Lodge
378,Ahome,MX,60.75,scattered clouds,25.9167,-109.1833,LA HOUSE DE LA ALEJANDRA
381,Mizdah,LY,59.41,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
383,Ahipara,NZ,68.61,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
385,Sur,OM,71.28,clear sky,22.5667,59.5289,Sur Plaza Hotel
387,Sibu,MY,73.09,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
389,Mizan Teferi,ET,70.39,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
396,Sinnamary,GF,79.86,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
400,Qui Nhon,VN,75.4,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
401,Waddan,LY,63.09,clear sky,29.1614,16.139,محل الشريف محمد العايب
402,Kralendijk,BQ,78.76,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
403,Matamoros,MX,62.87,clear sky,25.5333,-103.25,Quinta Belem
407,Moron,AR,70.81,broken clouds,-34.6534,-58.6198,Hotel Morón
410,Queanbeyan,AU,60.19,overcast clouds,-35.35,149.2333,Parkway Motel
412,Wadi Maliz,TN,56.25,overcast clouds,36.4681,8.5495,HOPITAL
420,Victoria,HK,66.33,broken clouds,22.2855,114.1577,Mini Hotel Central
421,Mayo,US,61.41,clear sky,38.8876,-76.5119,Resorts Resource Group International
423,Aguimes,ES,68.67,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
425,Santa Cruz,BO,70.07,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
428,Salalah,OM,72.39,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
430,Clifton,US,57.74,broken clouds,40.8584,-74.1638,La Quinta Inn & Suites by Wyndham Clifton/Rutherford
433,Gizo,SB,79.38,overcast clouds,-8.103,156.8419,Imagination Island
437,Amahai,ID,77.61,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
439,General Pico,AR,69.3,clear sky,-35.6566,-63.7568,Euskadi Hotel
441,Coquimbo,CL,69.33,scattered clouds,-29.9533,-71.3436,Hostel Del Puerto
443,Port Lincoln,AU,68.4,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
444,Gorontalo,ID,73.83,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
449,Kupang,ID,78.44,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
452,Gigmoto,PH,76.48,light rain,13.7796,124.39,Cj's Travellers Inn
453,Kibaya,TZ,61.66,moderate rain,-5.3,36.5667,Lusaka Hotel
454,Port Augusta,AU,74.26,scattered clouds,-32.5,137.7667,Majestic Oasis Apartments
